================================================================================
COMPUTING BUDGET TEST
================================================================================
Equation: Linear_Convection_Diffusion
Dimension: 31
Test points: 1200
Budget levels: [1.0, 2.0, 4.0, 8.0, 16.0]
================================================================================


================================================================================
Budget Level: 1.0x
================================================================================

--- PINN (budget=1.0x) ---
Compiling model...
'compile' took 0.006908 s

Training model...

Step      Train loss              Test loss               Test metric             
10630     [1.17e-03, 6.02e-05]    [1.17e-03, 6.02e-05]    [0.00e+00, 1.55e-03]    
10640     [2.20e-04, 5.61e-05]    [2.20e-04, 5.61e-05]    [0.00e+00, 1.50e-03]    
10650     [1.54e-04, 5.35e-05]    [1.54e-04, 5.35e-05]    [0.00e+00, 1.50e-03]    
10660     [1.38e-04, 5.18e-05]    [1.38e-04, 5.18e-05]    [0.00e+00, 1.46e-03]    
10670     [1.39e-04, 5.11e-05]    [1.39e-04, 5.11e-05]    [0.00e+00, 1.45e-03]    
10680     [1.39e-04, 5.08e-05]    [1.39e-04, 5.08e-05]    [0.00e+00, 1.44e-03]    
10690     [1.37e-04, 5.02e-05]    [1.37e-04, 5.02e-05]    [0.00e+00, 1.43e-03]    
10700     [1.43e-04, 4.99e-05]    [1.43e-04, 4.99e-05]    [0.00e+00, 1.42e-03]    
10710     [1.37e-04, 4.94e-05]    [1.37e-04, 4.94e-05]    [0.00e+00, 1.41e-03]    
10720     [1.39e-04, 4.90e-05]    [1.39e-04, 4.90e-05]    [0.00e+00, 1.40e-03]    
10730     [1.37e-04, 4.88e-05]    [1.37e-04, 4.88e-05]    [0.00e+00, 1.39e-03]    
10740     [1.37e-04, 4.85e-05]    [1.37e-04, 4.85e-05]    [0.00e+00, 1.38e-03]    
10750     [1.38e-04, 4.82e-05]    [1.38e-04, 4.82e-05]    [0.00e+00, 1.37e-03]    
10760     [1.38e-04, 4.81e-05]    [1.38e-04, 4.81e-05]    [0.00e+00, 1.37e-03]    
10770     [2.20e-04, 4.83e-05]    [2.20e-04, 4.83e-05]    [0.00e+00, 1.37e-03]    
10780     [8.26e-03, 6.60e-05]    [8.26e-03, 6.60e-05]    [0.00e+00, 1.55e-03]    
10790     [1.16e-03, 5.81e-05]    [1.16e-03, 5.81e-05]    [0.00e+00, 1.48e-03]    
10800     [3.57e-04, 5.55e-05]    [3.57e-04, 5.55e-05]    [0.00e+00, 1.51e-03]    
10810     [1.90e-04, 5.34e-05]    [1.90e-04, 5.34e-05]    [0.00e+00, 1.49e-03]    
10820     [1.36e-04, 5.12e-05]    [1.36e-04, 5.12e-05]    [0.00e+00, 1.45e-03]    
10830     [1.86e-04, 5.00e-05]    [1.86e-04, 5.00e-05]    [0.00e+00, 1.43e-03]    
10840     [1.96e-04, 5.04e-05]    [1.96e-04, 5.04e-05]    [0.00e+00, 1.43e-03]    
10850     [1.39e-04, 4.91e-05]    [1.39e-04, 4.91e-05]    [0.00e+00, 1.41e-03]    
10860     [1.35e-04, 4.87e-05]    [1.35e-04, 4.87e-05]    [0.00e+00, 1.40e-03]    
10870     [1.36e-04, 4.84e-05]    [1.36e-04, 4.84e-05]    [0.00e+00, 1.39e-03]    
10880     [1.35e-04, 4.79e-05]    [1.35e-04, 4.79e-05]    [0.00e+00, 1.38e-03]    
10890     [1.34e-04, 4.77e-05]    [1.34e-04, 4.77e-05]    [0.00e+00, 1.37e-03]    
10900     [1.35e-04, 4.73e-05]    [1.35e-04, 4.73e-05]    [0.00e+00, 1.36e-03]    
10910     [3.09e-04, 4.68e-05]    [3.09e-04, 4.68e-05]    [0.00e+00, 1.34e-03]    
10920     [2.89e-03, 5.56e-05]    [2.89e-03, 5.56e-05]    [0.00e+00, 1.34e-03]    
10930     [8.52e-04, 5.07e-05]    [8.52e-04, 5.07e-05]    [0.00e+00, 1.41e-03]    
10940     [4.11e-04, 4.91e-05]    [4.11e-04, 4.91e-05]    [0.00e+00, 1.39e-03]    
10950     [3.43e-04, 4.94e-05]    [3.43e-04, 4.94e-05]    [0.00e+00, 1.40e-03]    
10960     [3.00e-04, 4.86e-05]    [3.00e-04, 4.86e-05]    [0.00e+00, 1.38e-03]    
10970     [5.44e-04, 4.95e-05]    [5.44e-04, 4.95e-05]    [0.00e+00, 1.39e-03]    
10980     [5.74e-04, 4.91e-05]    [5.74e-04, 4.91e-05]    [0.00e+00, 1.40e-03]    
10990     [3.79e-04, 4.93e-05]    [3.79e-04, 4.93e-05]    [0.00e+00, 1.38e-03]    
11000     [7.93e-04, 5.01e-05]    [7.93e-04, 5.01e-05]    [0.00e+00, 1.40e-03]    
11010     [3.05e-04, 4.82e-05]    [3.05e-04, 4.82e-05]    [0.00e+00, 1.38e-03]    
11020     [7.77e-04, 5.00e-05]    [7.77e-04, 5.00e-05]    [0.00e+00, 1.39e-03]    
11030     [4.42e-04, 4.91e-05]    [4.42e-04, 4.91e-05]    [0.00e+00, 1.38e-03]    
11040     [1.53e-04, 4.67e-05]    [1.53e-04, 4.67e-05]    [0.00e+00, 1.35e-03]    
11050     [1.48e-04, 4.63e-05]    [1.48e-04, 4.63e-05]    [0.00e+00, 1.34e-03]    
11060     [1.36e-04, 4.62e-05]    [1.36e-04, 4.62e-05]    [0.00e+00, 1.34e-03]    
11070     [8.31e-04, 4.95e-05]    [8.31e-04, 4.95e-05]    [0.00e+00, 1.35e-03]    
11080     [2.34e-03, 9.00e-05]    [2.34e-03, 9.00e-05]    [0.00e+00, 1.57e-03]    
11090     [2.09e-03, 6.25e-05]    [2.09e-03, 6.25e-05]    [0.00e+00, 1.50e-03]    
11100     [1.78e-04, 5.40e-05]    [1.78e-04, 5.40e-05]    [0.00e+00, 1.47e-03]    
11110     [2.45e-04, 5.22e-05]    [2.45e-04, 5.22e-05]    [0.00e+00, 1.45e-03]    
11120     [2.33e-04, 4.97e-05]    [2.33e-04, 4.97e-05]    [0.00e+00, 1.42e-03]    
11130     [1.47e-04, 4.89e-05]    [1.47e-04, 4.89e-05]    [0.00e+00, 1.41e-03]    
11140     [1.39e-04, 4.85e-05]    [1.39e-04, 4.85e-05]    [0.00e+00, 1.39e-03]    
11150     [1.35e-04, 4.73e-05]    [1.35e-04, 4.73e-05]    [0.00e+00, 1.38e-03]    
11160     [1.31e-04, 4.68e-05]    [1.31e-04, 4.68e-05]    [0.00e+00, 1.36e-03]    
11170     [1.31e-04, 4.62e-05]    [1.31e-04, 4.62e-05]    [0.00e+00, 1.35e-03]    
11180     [1.34e-04, 4.58e-05]    [1.34e-04, 4.58e-05]    [0.00e+00, 1.34e-03]    
11190     [2.43e-04, 4.55e-05]    [2.43e-04, 4.55e-05]    [0.00e+00, 1.32e-03]    
11200     [6.49e-04, 4.96e-05]    [6.49e-04, 4.96e-05]    [0.00e+00, 1.32e-03]    
11210     [5.05e-04, 4.75e-05]    [5.05e-04, 4.75e-05]    [0.00e+00, 1.32e-03]    
11220     [2.74e-04, 4.50e-05]    [2.74e-04, 4.50e-05]    [0.00e+00, 1.31e-03]    
11230     [9.22e-04, 4.93e-05]    [9.22e-04, 4.93e-05]    [0.00e+00, 1.30e-03]    
11240     [1.35e-03, 5.69e-05]    [1.35e-03, 5.69e-05]    [0.00e+00, 1.33e-03]    
11250     [2.87e-04, 4.88e-05]    [2.87e-04, 4.88e-05]    [0.00e+00, 1.35e-03]    
11260     [1.74e-04, 4.64e-05]    [1.74e-04, 4.64e-05]    [0.00e+00, 1.34e-03]    
11270     [2.04e-04, 4.51e-05]    [2.04e-04, 4.51e-05]    [0.00e+00, 1.32e-03]    
11280     [1.31e-04, 4.46e-05]    [1.31e-04, 4.46e-05]    [0.00e+00, 1.31e-03]    
11290     [1.30e-04, 4.44e-05]    [1.30e-04, 4.44e-05]    [0.00e+00, 1.30e-03]    
11300     [1.30e-04, 4.41e-05]    [1.30e-04, 4.41e-05]    [0.00e+00, 1.29e-03]    
11310     [1.86e-04, 4.43e-05]    [1.86e-04, 4.43e-05]    [0.00e+00, 1.29e-03]    
11320     [1.20e-02, 9.46e-05]    [1.20e-02, 9.46e-05]    [0.00e+00, 1.49e-03]    
11330     [2.17e-04, 8.59e-05]    [2.17e-04, 8.59e-05]    [0.00e+00, 1.58e-03]    
11340     [1.24e-03, 9.84e-05]    [1.24e-03, 9.84e-05]    [0.00e+00, 1.70e-03]    
11350     [9.67e-04, 7.33e-05]    [9.67e-04, 7.33e-05]    [0.00e+00, 1.63e-03]    
11360     [1.52e-04, 5.73e-05]    [1.52e-04, 5.73e-05]    [0.00e+00, 1.52e-03]    
11370     [1.44e-04, 5.28e-05]    [1.44e-04, 5.28e-05]    [0.00e+00, 1.49e-03]    
11380     [1.80e-04, 5.21e-05]    [1.80e-04, 5.21e-05]    [0.00e+00, 1.48e-03]    
11390     [1.55e-04, 5.04e-05]    [1.55e-04, 5.04e-05]    [0.00e+00, 1.45e-03]    
11400     [1.31e-04, 4.88e-05]    [1.31e-04, 4.88e-05]    [0.00e+00, 1.42e-03]    
11410     [1.29e-04, 4.76e-05]    [1.29e-04, 4.76e-05]    [0.00e+00, 1.41e-03]    
11420     [1.30e-04, 4.67e-05]    [1.30e-04, 4.67e-05]    [0.00e+00, 1.39e-03]    
11430     [1.28e-04, 4.59e-05]    [1.28e-04, 4.59e-05]    [0.00e+00, 1.37e-03]    
11440     [1.28e-04, 4.53e-05]    [1.28e-04, 4.53e-05]    [0.00e+00, 1.35e-03]    
11450     [1.28e-04, 4.48e-05]    [1.28e-04, 4.48e-05]    [0.00e+00, 1.34e-03]    
11460     [1.27e-04, 4.44e-05]    [1.27e-04, 4.44e-05]    [0.00e+00, 1.33e-03]    
11470     [1.26e-04, 4.39e-05]    [1.26e-04, 4.39e-05]    [0.00e+00, 1.31e-03]    
